#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 03 04 50  89  4.2  5.8  1.69  9.09  6.50 225 1015.7   1.9   7.1 999.0 99.0 99.00
2009 01 03 05 20 102  3.7  5.0 99.00 99.00 99.00 999 1016.0   2.0   7.1 999.0 99.0 99.00
2009 01 03 05 50 112  4.4  6.4  1.73  9.09  6.88 248 1016.2   2.0   7.3 999.0 99.0 99.00
2009 01 03 06 20 102  5.6  6.7 99.00 99.00 99.00 999 1016.3   2.1   7.4 999.0 99.0 99.00
2009 01 03 06 50 155  2.6  4.5  1.64  9.09  7.01 257 1016.8   2.6   7.5 999.0 99.0 99.00
2009 01 03 07 20 104  6.6  8.6 99.00 99.00 99.00 999 1017.0   2.3   7.6 999.0 99.0 99.00
2009 01 03 07 50 125  4.6  7.0  1.65  9.09  6.63 245 1017.4   2.6   7.6 999.0 99.0 99.00
2009 01 03 08 20 195  6.4  7.7 99.00 99.00 99.00 999 1017.3   2.6   7.6 999.0 99.0 99.00
2009 01 03 08 50 181  5.6  6.9  1.78  8.33  6.49 238 1017.6   2.7   7.6 999.0 99.0 99.00
2009 01 03 09 20 191  4.1  5.7 99.00 99.00 99.00 999 1017.8   2.7   7.6 999.0 99.0 99.00
2009 01 03 09 50 189  4.2  5.5  1.64  9.09  6.61 246 1017.8   3.2   7.6 999.0 99.0 99.00
2009 01 03 10 20 189  5.2  6.2 99.00 99.00 99.00 999 1018.0   3.3   7.6 999.0 99.0 99.00
2009 01 03 10 50 179  5.6  6.7  1.64  8.33  6.96 232 1018.3   3.8   7.6 999.0 99.0 99.00
2009 01 03 11 20 163  4.6  6.9 99.00 99.00 99.00 999 1018.3   3.8   7.6 999.0 99.0 99.00
2009 01 03 11 50 117  4.3  6.6  1.64  9.09  6.63 229 1018.4   3.7   7.6 999.0 99.0 99.00
2009 01 03 12 20 188  7.4  9.2 99.00 99.00 99.00 999 1018.5   3.3   7.5 999.0 99.0 99.00
2009 01 03 12 50 180  5.2  7.2  1.68  9.09  6.41 236 1018.8   3.0   7.5 999.0 99.0 99.00
2009 01 03 13 20 120  3.0  4.1 99.00 99.00 99.00 999 1018.8   2.9   7.4 999.0 99.0 99.00
